"Season","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2000","MIL","73","89","4.63","596","163","2","1","29","","","1466.1","6497","1501","826","755","174","728","87","65","60","6","967"
"2006","SFG","76","85","4.64","599","161","7","3","37","68","22","1429.2","6225","1422","790","737","153","584","37","70","50","7","992"
"2015","DET","74","87","4.64","666","161","7","4","35","49","24","1447.0","6188","1491","803","746","193","489","32","46","60","8","1100"
"2016","PHI","71","91","4.64","667","162","4","3","43","80","20","1437.0","6163","1468","796","741","213","466","30","51","57","9","1299"
"2012","TOR","73","89","4.64","657","162","5","4","29","72","15","1443.2","6216","1439","784","745","204","574","20","55","56","7","1142"
"2001","CLE","91","71","4.65","645","162","3","0","42","","","1446.2","6312","1512","821","747","148","573","44","49","58","11","1218"
"2003","PIT","75","87","4.65","619","162","7","3","44","77","24","1444.1","6293","1527","801","746","178","502","58","61","50","2","926"
"2001","MIL","68","94","4.65","651","162","3","2","28","","","1436.1","6338","1452","806","742","197","667","107","72","58","3","1057"
"2018","CIN","67","95","4.65","706","162","1","0","38","74","19","1441.0","6279","1491","819","745","228","532","60","50","48","8","1258"
"2002","SDP","66","96","4.66","622","162","5","2","40","60","23","1436.1","6333","1522","815","743","177","582","61","66","51","4","1108"
"2006","COL","76","86","4.66","661","162","5","4","34","76","25","1447.1","6318","1549","812","749","155","553","81","66","43","2","952"
"2008","WSN","59","102","4.66","678","161","2","0","28","66","28","1434.0","6310","1496","825","743","190","588","44","51","59","8","1063"
"2000","CHW","95","67","4.67","628","162","5","2","43","","","1450.1","6337","1509","839","752","195","614","27","54","43","8","1037"
"2007","STL","78","84","4.67","678","162","2","0","34","63","11","1435.2","6283","1514","829","745","168","509","25","73","39","6","945"
"2017","OAK","75","87","4.67","687","162","1","1","35","95","25","1431.0","6167","1444","826","743","210","502","17","61","84","3","1202"
"2004","NYY","101","61","4.69","598","162","1","0","59","70","17","1443.2","6240","1532","808","752","182","445","32","60","57","4","1058"
"2001","MON","68","94","4.69","653","162","5","3","28","","","1431.1","6250","1509","812","746","190","525","40","61","55","4","1103"
"2003","TOR","86","76","4.69","605","162","14","4","35","64","17","1435.0","6270","1560","826","748","184","485","46","57","56","2","984"
"2015","PHI","63","99","4.69","665","162","1","1","35","53","16","1436.1","6332","1592","809","749","191","488","37","61","60","7","1153"
"2019","BOS","84","78","4.70","794","162","1","1","33","82","28","1471.0","6399","1423","828","768","215","605","22","76","81","6","1633"
"2017","SDP","71","91","4.70","679","162","2","1","45","81","17","1430.2","6169","1417","816","747","226","554","28","75","73","11","1325"
"2017","TEX","78","84","4.70","626","162","2","1","29","66","21","1434.1","6211","1443","816","749","214","559","22","74","63","7","1107"
"2001","BAL","63","98","4.70","554","162","10","2","31","","","1432.1","6273","1504","829","748","194","528","28","74","37","5","938"
"2007","HOU","73","89","4.70","638","162","2","1","38","65","25","1464.2","6417","1566","813","765","206","510","62","63","40","3","1109"
"2004","BAL","78","84","4.71","614","162","8","4","27","54","20","1455.1","6459","1488","830","761","159","687","43","62","68","9","1090"
